iter	Passed	Remaining
420	2364	3251
421	2369	3245
422	2374	3239
423	2380	3233
424	2385	3227
425	2391	3221
426	2396	3215
427	2401	3209
428	2407	3204
429	2412	3198
430	2418	3192
431	2423	3186
432	2429	3181
433	2434	3175
434	2440	3170
435	2446	3165
436	2451	3158
437	2457	3153
438	2462	3147
439	2468	3141
440	2473	3135
441	2478	3129
442	2484	3123
443	2490	3118
444	2495	3112
445	2500	3105
446	2505	3100
447	2511	3093
448	2516	3087
449	2521	3082
450	2527	3076
451	2532	3070
452	2537	3064
453	2542	3058
454	2548	3052
455	2553	3046
456	2559	3040
457	2564	3034
458	2570	3029
459	2575	3023
460	2581	3017
461	2586	3012
462	2592	3006
463	2597	3000
464	2602	2994
465	2608	2988
466	2613	2983
467	2619	2977
468	2624	2971
469	2630	2966
470	2636	2960
471	2641	2955
472	2646	2949
473	2651	2942
474	2657	2937
475	2663	2931
476	2668	2925
477	2673	2920
478	2679	2914
479	2684	2908
480	2690	2902
481	2695	2897
482	2701	2891
483	2707	2886
484	2712	2880
485	2717	2874
486	2722	2868
487	2728	2862
488	2733	2856
489	2739	2850
490	2744	2845
491	2749	2839
492	2755	2833
493	2761	2829
494	2767	2823
495	2772	2817
496	2778	2811
497	2783	2806
498	2789	2800
499	2794	2794
500	2800	2788
501	2805	2783
502	2811	2777
503	2816	2772
504	2821	2766
505	2827	2760
506	2832	2754
507	2837	2748
508	2843	2742
509	2848	2737
510	2854	2731
511	2859	2725
512	2865	2719
513	2870	2713
514	2875	2707
515	2880	2701
516	2885	2695
517	2890	2689
518	2895	2683
519	2900	2677
520	2905	2671
521	2910	2665
522	2915	2659
523	2921	2653
524	2927	2648
525	2932	2642
526	2937	2636
527	2943	2631
528	2948	2625
529	2954	2619
530	2959	2614
531	2965	2608
532	2970	2602
533	2975	2596
534	2981	2591
535	2986	2585
536	2992	2579
537	2997	2574
538	3003	2568
539	3008	2562
540	3013	2556
541	3018	2551
542	3024	2545
543	3031	2540
544	3037	2535
545	3042	2529
546	3047	2523
547	3053	2518
548	3059	2512
549	3064	2507
550	3069	2501
551	3075	2495
552	3080	2489
553	3085	2484
554	3090	2478
555	3095	2472
556	3101	2466
557	3107	2461
558	3112	2455
559	3117	2449
560	3123	2443
561	3128	2438
562	3134	2432
563	3139	2427
564	3145	2421
565	3150	2415
566	3155	2409
567	3160	2404
568	3166	2398
569	3171	2392
570	3176	2386
571	3182	2381
572	3187	2375
573	3192	2369
574	3197	2363
575	3203	2358
576	3208	2352
577	3213	2346
578	3218	2340
579	3225	2335
580	3229	2329
581	3235	2323
582	3241	2318
583	3247	2313
584	3253	2307
585	3259	2302
586	3264	2296
587	3269	2291
588	3275	2285
589	3280	2279
590	3286	2274
591	3291	2268
592	3297	2263
593	3302	2257
594	3307	2251
595	3313	2245
596	3318	2240
597	3324	2234
598	3329	2229
599	3335	2223
600	3340	2218
601	3346	2212
602	3352	2206
603	3357	2201
604	3362	2195
605	3367	2189
606	3373	2184
607	3379	2178
608	3384	2173
609	3390	2167
610	3396	2162
611	3401	2156
612	3407	2151
613	3412	2145
614	3418	2139
615	3423	2134
616	3429	2128
617	3435	2123
618	3440	2117
619	3446	2112
620	3451	2106
621	3457	2100
622	3462	2095
623	3467	2089
624	3473	2083
625	3478	2078
626	3483	2072
627	3489	2066
628	3494	2061
629	3499	2055
630	3504	2049
631	3510	2043
632	3515	2038
633	3520	2032
634	3527	2027
635	3532	2021
636	3538	2016
637	3543	2010
638	3549	2005
639	3554	1999
640	3559	1993
641	3565	1988
642	3570	1982
643	3575	1976
644	3580	1970
645	3586	1965
646	3591	1959
647	3596	1953
648	3602	1948
649	3607	1942
650	3612	1936
651	3617	1930
652	3623	1925
653	3628	1919
654	3634	1914
655	3639	1908
656	3644	1902
657	3651	1897
658	3656	1892
659	3662	1886
660	3667	1880
661	3672	1875
662	3678	1869
663	3683	1864
664	3688	1858
665	3694	1852
666	3700	1847
667	3706	1842
668	3711	1836
669	3716	1830
670	3722	1825
671	3727	1819
672	3732	1813
673	3737	1807
674	3743	1802
675	3749	1796
676	3754	1791
677	3760	1785
678	3765	1780
679	3770	1774
680	3776	1768
681	3781	1763
682	3786	1757
683	3792	1752
684	3797	1746
685	3803	1740
686	3808	1735
687	3813	1729
688	3818	1723
689	3824	1718
690	3829	1712
691	3834	1706
692	3839	1700
693	3845	1695
694	3850	1689
695	3856	1684
696	3861	1678
697	3866	1672
698	3871	1667
699	3877	1661
700	3882	1656
701	3888	1650
702	3893	1645
703	3899	1639
704	3905	1634
705	3910	1628
706	3916	1623
707	3921	1617
708	3927	1612
709	3933	1606
710	3938	1600
711	3943	1595
712	3948	1589
713	3954	1583
714	3959	1578
715	3964	1572
716	3970	1567
717	3975	1561
718	3981	1556
719	3987	1550
720	3993	1545
721	3998	1539
722	4006	1535
723	4012	1529
724	4018	1524
725	4024	1518
