iter	Logloss
0	0.686278041
1	0.6798846837
2	0.673615598
3	0.6679880999
4	0.6626588617
5	0.6578565067
6	0.6535325881
7	0.6496305708
8	0.645587847
9	0.6420028059
10	0.638070412
11	0.6345826731
12	0.6315936387
13	0.6286239819
14	0.6262275764
15	0.6236607331
16	0.6212516476
17	0.6191973964
18	0.6173575633
19	0.6156211495
20	0.6140358502
21	0.6123202465
22	0.6105301183
23	0.6090432063
24	0.6078193623
25	0.6065167769
26	0.6052313939
27	0.6037652922
28	0.602572813
29	0.6014701409
30	0.6001802332
31	0.5988826502
32	0.5976990882
33	0.596797014
34	0.5958919719
35	0.5950616628
36	0.5940599837
37	0.5934377026
38	0.5925627866
39	0.5918704875
40	0.5912093745
41	0.590545072
42	0.5898320276
43	0.5891201776
44	0.5885552297
45	0.5879022602
46	0.587185638
47	0.5865765102
48	0.5860561355
49	0.5855150878
50	0.5849263187
51	0.5842566653
52	0.5837689967
53	0.5832845163
54	0.5828092785
55	0.582281339
56	0.5817898046
57	0.581313488
58	0.5809828618
59	0.5806225363
60	0.5802780376
61	0.5798379387
62	0.5795625181
63	0.5791968095
64	0.5788280806
65	0.5783305393
66	0.5778442735
67	0.577342853
68	0.5770485365
69	0.5766605655
70	0.576419853
71	0.5761872028
72	0.5758000862
73	0.5755437052
74	0.5750598074
75	0.5748137851
76	0.5744604657
77	0.5741721161
78	0.5737757652
79	0.5734703134
80	0.5731868684
81	0.5729964566
82	0.5726670261
83	0.5725161467
84	0.5721372251
85	0.5718854716
86	0.5717453756
87	0.5715118638
88	0.5713153359
89	0.5711264748
90	0.5709476106
91	0.5707515185
92	0.5704074246
93	0.5702069037
94	0.5699618591
95	0.5696833149
96	0.5694606317
97	0.5691311046
98	0.5688555694
99	0.5686570627
100	0.5684752686
101	0.568273608
102	0.5680410265
103	0.5677802084
104	0.5675130208
105	0.5671581678
106	0.5669146407
107	0.5667133336
108	0.5664818377
109	0.5662676187
110	0.5660531969
111	0.565823804
112	0.5656464152
113	0.5654273318
114	0.5651229934
115	0.5649453731
116	0.5647539402
117	0.5645659687
118	0.5643242656
119	0.5641887633
120	0.5640515689
121	0.563862603
122	0.563690359
123	0.5634639812
124	0.5632234631
125	0.563040511
126	0.5628974248
127	0.5626922229
128	0.5625060489
129	0.5622652677
130	0.5620906051
131	0.5619710083
132	0.5617781654
133	0.5616452673
134	0.5613434888
135	0.5611289198
136	0.5608778728
137	0.5606125795
138	0.5603851148
139	0.5602603826
140	0.5599431195
141	0.559812917
142	0.5597119683
143	0.5594962009
144	0.5592746566
145	0.5590928028
146	0.5589393955
147	0.5588103774
148	0.5586243762
149	0.5584530932
150	0.5582651097
151	0.5580074999
152	0.5578850178
153	0.5577083536
154	0.5575317168
155	0.557374822
156	0.5572820683
157	0.5570449521
158	0.5568609841
159	0.5567342063
160	0.5564771169
161	0.5563056121
162	0.5561363671
163	0.5559606465
164	0.5557480695
165	0.5555585696
166	0.5553703665
167	0.5551587548
168	0.5550397134
169	0.5548559481
170	0.5546232874
171	0.5544657225
172	0.5543285782
173	0.5540827552
174	0.5538601056
175	0.5537628007
176	0.5536107465
177	0.5535213883
178	0.5533418553
179	0.5532223678
180	0.553062647
181	0.5528644522
182	0.552675771
183	0.5525330524
184	0.5523674659
185	0.5521733747
186	0.5520194955
187	0.5518623111
188	0.5517395577
189	0.5515248348
190	0.5513871195
191	0.5511580601
192	0.5510035588
193	0.550888342
194	0.5507759905
195	0.5505952843
196	0.5504197274
197	0.5502634073
198	0.5501375175
199	0.54997623
200	0.5498035361
201	0.549666678
202	0.5495627104
203	0.5494044472
204	0.549219856
205	0.5489862511
206	0.5488154273
207	0.5485014626
208	0.5482900892
209	0.5481315849
210	0.5480054504
211	0.5478998917
212	0.5477944303
213	0.547685623
214	0.5476048871
215	0.5474570343
216	0.547299937
217	0.5471504144
218	0.5469315495
219	0.5468545799
220	0.5467583976
221	0.5465573719
222	0.5464153792
223	0.5462935919
224	0.5461576633
225	0.5460131876
226	0.5458609079
227	0.5457488145
228	0.545589466
229	0.545423981
230	0.5452690954
231	0.5451243441
232	0.5450149603
233	0.5448639664
234	0.5447544464
235	0.544574916
236	0.5444881805
237	0.5443587716
238	0.5441934744
239	0.5440414941
240	0.5438740798
241	0.5436791857
242	0.5435509835
243	0.543408039
244	0.5432195568
245	0.5430431388
246	0.5429498421
247	0.5428308147
248	0.542698771
249	0.5424896145
250	0.5423619966
251	0.5422082757
252	0.5420255242
253	0.541864517
254	0.5416984506
255	0.5415581676
256	0.5413344444
257	0.5411313456
258	0.5409889895
259	0.5408555525
260	0.5406772274
261	0.5404436158
262	0.5402593277
263	0.5401093456
264	0.5398619151
265	0.5396624299
266	0.5394967446
267	0.5392313138
268	0.5391295974
269	0.5389954589
270	0.5387976103
271	0.5385748175
272	0.5383291564
273	0.538115579
274	0.5379847675
275	0.5378223176
276	0.5376787847
277	0.537518236
278	0.5373996575
279	0.5371444465
280	0.5369646074
281	0.5368288739
282	0.5366459135
283	0.5364992531
284	0.5363620234
285	0.5361638987
286	0.5360182456
287	0.5358703112
288	0.5356526048
289	0.5355312192
290	0.5353640039
291	0.5352171748
292	0.5350445928
293	0.5348954817
294	0.5346701356
295	0.5344741423
296	0.5342311915
297	0.5340831576
298	0.5339238681
299	0.5337675385
300	0.5336272843
301	0.5334319023
302	0.5332515838
303	0.5331241534
304	0.5328998822
305	0.532722744
306	0.5326044592
307	0.5324413168
308	0.5322949917
309	0.5321363265
310	0.531928813
311	0.531781272
312	0.5316270516
313	0.5314146389
314	0.5312620413
315	0.531061567
316	0.530889859
317	0.5307010747
318	0.5305047849
319	0.5303790051
320	0.530208345
321	0.5299947211
322	0.5298295215
323	0.5297142575
324	0.5295030506
325	0.5293062716
326	0.529096249
327	0.5289241999
328	0.5287485553
329	0.5285802733
330	0.528448102
331	0.5282735828
332	0.5280266498
333	0.5278163188
334	0.5276400089
335	0.5274580562
336	0.5273367183
337	0.5271466728
338	0.5269254136
339	0.5267514448
340	0.5266200218
341	0.5265171459
342	0.5263710827
343	0.5262304227
344	0.5260842093
345	0.5258157224
346	0.5256372678
347	0.5254428691
348	0.5253151756
349	0.5251286284
350	0.5249931048
351	0.5248438457
352	0.5246730033
353	0.5244617341
354	0.5242512146
355	0.5241157925
356	0.5239552029
357	0.5237335257
358	0.5234828724
359	0.5232695054
360	0.5231281315
361	0.5229489788
362	0.522789328
363	0.5226450989
364	0.5224671052
365	0.5223598388
366	0.5222227141
367	0.5220716353
368	0.5219166851
369	0.5216981424
370	0.5215208079
371	0.5213623274
372	0.5211828238
373	0.5209969805
374	0.5208341956
375	0.5206189371
376	0.5205130934
377	0.5203475696
378	0.5202058685
379	0.5200286028
380	0.5198573735
381	0.519729001
382	0.5195773547
383	0.5194746242
384	0.5193531845
385	0.5192050516
386	0.5190141596
387	0.5188631782
388	0.5186755623
389	0.518506713
390	0.5183325753
391	0.518180876
392	0.5180107004
393	0.5178598038
394	0.5177034236
395	0.5175272448
396	0.5173687647
397	0.5172411083
398	0.5170958512
399	0.5168990813
400	0.5167592183
401	0.5166165154
402	0.5164255035
403	0.5162530435
404	0.5160505401
405	0.5158975204
406	0.5157495885
407	0.5156178234
408	0.5154472057
409	0.5152715971
410	0.5150686253
411	0.5148761901
412	0.5146897814
413	0.5145166483
414	0.5142808218
415	0.5141488361
416	0.5140436199
417	0.5138916609
418	0.5137672238
419	0.5135958048
420	0.5134590049
421	0.5133042331
422	0.5132256351
423	0.5130659947
424	0.5128680335
425	0.5127126821
426	0.5125865364
427	0.5124662934
428	0.5123243304
429	0.5122329904
430	0.5120946857
431	0.5119045306
432	0.5117350835
433	0.5116051056
434	0.5114767719
435	0.5113137465
436	0.5111067848
437	0.5109454407
438	0.5108276126
439	0.510695425
440	0.5105273716
441	0.5104073818
442	0.5102784838
443	0.5101313726
444	0.5099627683
445	0.5097801711
446	0.5095901245
447	0.509476712
448	0.5093021021
449	0.5091057219
450	0.5089888973
451	0.5088422734
452	0.5086678771
453	0.5085127848
454	0.508375217
455	0.5082262085
456	0.5080912175
457	0.5079444363
458	0.5077959703
459	0.5076104078
460	0.5074409393
461	0.5073468646
462	0.5071948757
463	0.5070719615
464	0.5069340498
465	0.5067618209
466	0.5066026635
467	0.5064569897
468	0.5062835557
469	0.5061695282
470	0.5059860699
471	0.5057810499
472	0.5056360335
473	0.5054815611
474	0.5053540393
475	0.5052211532
476	0.5050845762
477	0.5049407857
478	0.5047439935
479	0.5046135804
480	0.5044379175
481	0.5042675642
482	0.5040829078
483	0.5039589031
484	0.503792945
485	0.5036454105
486	0.5034756937
487	0.5033428436
488	0.5031841627
489	0.5030452981
490	0.5029117761
491	0.5027984949
492	0.5026491383
493	0.5025477924
494	0.5023973065
495	0.5022726136
496	0.5020954511
497	0.5019341368
498	0.5018043199
499	0.501649868
500	0.5014964415
501	0.5013630626
502	0.5012433685
503	0.5011512919
504	0.5010343675
505	0.5008703703
506	0.500651175
507	0.5005112584
508	0.5003512119
509	0.5002236463
510	0.5000530815
511	0.4999052726
512	0.4997325218
513	0.4996431612
514	0.4994494963
515	0.4993247554
516	0.4991945113
517	0.4990584367
518	0.4988769457
519	0.4987566853
520	0.4985756541
521	0.4984878052
522	0.4983223333
523	0.498167803
524	0.4980490944
525	0.4979179562
526	0.4977299997
527	0.4975563138
528	0.4973993943
529	0.4972270859
530	0.4971222687
531	0.4970053638
532	0.4968610578
533	0.4967441325
534	0.496632406
535	0.4965119507
536	0.4963620918
537	0.4962157702
538	0.4960562757
539	0.4959737565
540	0.4958434107
541	0.495657487
542	0.4955493177
543	0.4953832883
544	0.495273154
545	0.4951321319
546	0.4949960875
547	0.4948668694
548	0.4947032726
549	0.4945587468
550	0.4944132575
551	0.4942190495
552	0.4941099333
553	0.4939866333
554	0.4938051236
555	0.4936421192
556	0.4935084776
557	0.4933673032
558	0.4932542061
559	0.4930804239
560	0.4929753161
561	0.4928466057
562	0.4927511185
563	0.4926008533
564	0.4924805275
565	0.4923520937
566	0.4922399809
567	0.4921095973
568	0.4919789124
569	0.4918221363
570	0.4916660302
571	0.4915370839
572	0.4914187265
573	0.4912836493
574	0.491187257
575	0.491053946
576	0.4908834685
577	0.4907632602
578	0.4906474123
579	0.4904671529
580	0.4903246987
581	0.4901533934
582	0.4900089594
583	0.4898869812
584	0.489723006
585	0.4896141848
586	0.4894399073
587	0.489303133
588	0.4891414147
589	0.4890043678
590	0.4888602428
591	0.4886954293
592	0.4885178655
593	0.4883533961
594	0.4882566394
595	0.4881038706
596	0.4879649525
597	0.4877884923
598	0.4876461892
599	0.4874851962
600	0.4873507373
601	0.4872486901
602	0.4871059453
603	0.486958452
604	0.4868299368
605	0.4866948951
606	0.4864955302
607	0.4863863432
608	0.4861792041
609	0.4860433846
610	0.4859447472
611	0.4858359477
612	0.4857060745
613	0.4855943355
614	0.4854280188
615	0.4853185295
616	0.4851743438
617	0.4850276161
618	0.484899539
619	0.4847619676
620	0.4846711142
621	0.4845163903
622	0.4844026283
623	0.4842945625
624	0.4841912981
625	0.4840932849
626	0.483971798
627	0.4838642264
628	0.4837182235
629	0.4835984043
630	0.4834718689
631	0.4833349843
632	0.4832063475
633	0.4830884042
634	0.4829193932
635	0.4827761193
636	0.482612946
637	0.4824967053
638	0.482394041
639	0.4822138736
640	0.4821086508
641	0.4819845262
642	0.4818463269
643	0.481770312
644	0.4816456943
645	0.4814933698
646	0.4813776068
647	0.4812870509
648	0.4811708885
649	0.4810531917
650	0.4808730339
651	0.4807293849
652	0.4805896594
653	0.4804649689
654	0.4803487435
655	0.4801896581
656	0.480100409
657	0.479937186
658	0.4798077659
659	0.4796098659
660	0.4794920417
661	0.4793615318
662	0.4792217118
663	0.4791446033
664	0.4790294591
665	0.4788337477
666	0.478696574
667	0.4785316064
668	0.4784178654
669	0.4783280158
670	0.4781878527
671	0.4780108901
672	0.477898076
673	0.4777480112
674	0.4776126793
675	0.4774652012
676	0.4773039273
677	0.4772091101
678	0.477084488
679	0.4769696391
680	0.476883237
681	0.4767867801
682	0.4766303887
683	0.4764513298
684	0.4763338982
685	0.4762051245
686	0.4760305222
687	0.4759723001
688	0.4758565514
689	0.4756878848
690	0.475530843
691	0.4753896592
692	0.4752986343
693	0.4751674804
694	0.4750400523
695	0.4748690064
696	0.4747523721
697	0.4746299269
698	0.4744977625
699	0.4743449533
700	0.4742004576
701	0.474060493
702	0.4739610799
703	0.4738235018
704	0.4736539778
705	0.4735432484
706	0.4734161749
707	0.4732397555
708	0.4731242947
709	0.4730233945
710	0.4729172529
711	0.4727415682
712	0.4726343214
713	0.4725405619
714	0.4724552695
715	0.4723527445
716	0.4722044398
717	0.4720122932
718	0.4719023368
719	0.4717953641
720	0.4716968741
721	0.4715443537
722	0.4714499906
723	0.471314071
724	0.4711731041
725	0.4710364678
726	0.4709444837
727	0.4708145013
728	0.4706992131
729	0.4705580028
730	0.4704026902
731	0.4703138136
732	0.4701881334
733	0.4700424274
734	0.4699073546
735	0.4697930836
736	0.4696743193
737	0.4695430127
738	0.4694500774
739	0.4693493367
740	0.4691978062
741	0.4690840182
742	0.4689749062
743	0.4688348801
744	0.4686835665
745	0.4685402544
746	0.4684170078
747	0.4682927253
748	0.4681465827
749	0.4680024142
750	0.4678711629
751	0.4677909608
752	0.4676844211
753	0.4675138251
754	0.467359518
755	0.4672123706
756	0.4671006225
757	0.4669202385
758	0.4668225862
759	0.4667033271
760	0.4665713787
761	0.4664716421
762	0.4663615663
763	0.4662069669
764	0.4661179233
765	0.4660011991
766	0.4658681926
767	0.4657566031
768	0.4656414594
769	0.4655029359
770	0.4653852447
771	0.4652848241
772	0.4651904555
773	0.4650956211
774	0.4649593101
775	0.4648417351
776	0.464735693
777	0.4646785504
778	0.4645556029
779	0.4644021781
780	0.4643093341
781	0.4642002057
782	0.4640573075
783	0.4639396629
784	0.4638058977
785	0.4636716429
786	0.4635723803
787	0.4634556231
788	0.4633150572
789	0.4631577164
790	0.4630632013
791	0.4629238278
792	0.4627937554
793	0.4626798323
794	0.4625700591
795	0.4624438832
796	0.4623443866
797	0.4621681149
798	0.4620708347
799	0.4619186584
800	0.461818386
801	0.461690954
802	0.4615690067
803	0.4614722715
804	0.4613281969
805	0.4612209063
806	0.4610976737
807	0.4610025617
808	0.4608874303
809	0.4607814956
810	0.4606319101
811	0.4604586832
812	0.4603758337
813	0.4602168651
814	0.4601172857
815	0.4599797057
816	0.4598693429
817	0.459745552
818	0.4595580694
819	0.4594180547
820	0.4592826408
821	0.4591827269
822	0.4590999914
823	0.458960253
824	0.4588396873
825	0.4587530797
826	0.4586372241
827	0.4585112219
828	0.4583727147
829	0.4582689343
830	0.4581293292
831	0.457985363
832	0.4578730737
833	0.4578034744
834	0.4576664322
835	0.4574866962
836	0.4573773105
837	0.4572205911
838	0.4571131828
839	0.4569784542
840	0.456841529
841	0.4566970976
842	0.4565924041
843	0.4564990027
844	0.4563484543
845	0.4562225241
846	0.4560888592
847	0.4559962761
848	0.4558648688
849	0.4557286041
850	0.4556023988
851	0.4555201437
852	0.4554275698
853	0.4553405501
854	0.4552444056
855	0.4551251204
856	0.4550082506
857	0.4548510104
858	0.4546964186
859	0.454593215
860	0.4544354149
861	0.454304063
862	0.4541801127
863	0.4540097926
864	0.4539236729
865	0.4538438716
866	0.4537278063
867	0.4536084025
868	0.4535219699
869	0.4533764776
870	0.4532418645
871	0.4530972464
872	0.4530218509
873	0.4529148249
874	0.4528588943
875	0.4527514198
876	0.4526302459
877	0.4524458492
878	0.4523047202
879	0.4522002749
880	0.4521256638
881	0.451984777
882	0.4518908831
883	0.4517644453
884	0.4516414474
885	0.4515687167
886	0.4514725142
887	0.4513385063
888	0.4512637073
889	0.4511350423
890	0.4510601155
891	0.4509577081
892	0.4508293238
893	0.4507043879
894	0.450582206
895	0.4505028387
896	0.4503952583
897	0.4502400995
898	0.4500665037
899	0.4499583597
900	0.4498441931
901	0.4497712133
902	0.4496727214
903	0.4495589673
904	0.4494107433
905	0.4493203609
906	0.4491932589
907	0.4490605632
908	0.4489602134
909	0.4488413796
910	0.4487197267
911	0.4486159389
912	0.4484833342
913	0.4483586673
914	0.4482083993
915	0.4481027459
916	0.4480467158
917	0.4479639224
918	0.4478364596
919	0.4477282405
920	0.4475962667
921	0.447452627
922	0.4473395908
923	0.4472732614
924	0.4471728353
925	0.4470592545
926	0.4469241595
927	0.4467698576
928	0.4466752393
929	0.4465968492
930	0.4464775584
931	0.4463867953
932	0.4462864485
933	0.4461806238
934	0.4460700815
935	0.4459848114
936	0.4458587387
937	0.4457172012
938	0.445627396
939	0.4455088038
940	0.445453121
941	0.4452845904
942	0.4451865848
943	0.4450955788
944	0.4450155109
945	0.444876441
946	0.4447818167
947	0.4446850867
948	0.4445660832
949	0.4444373024
950	0.4443440504
951	0.4442222973
952	0.4440870993
953	0.4440050906
954	0.4439164185
955	0.4437571988
956	0.4436614727
957	0.4435642088
958	0.4434695125
959	0.4433907781
960	0.4432506436
961	0.4431681794
962	0.4430520215
963	0.4429618675
964	0.4428689634
965	0.4427137971
966	0.4425704467
967	0.4424052179
968	0.4422967451
969	0.4421794124
970	0.4420625433
971	0.441994533
972	0.4418493557
973	0.4417209443
974	0.4416209082
975	0.4414720823
976	0.4413559678
977	0.4412264249
978	0.4411389907
979	0.4410414045
980	0.4409077502
981	0.4407714226
982	0.4406384707
983	0.4405216261
984	0.4404199461
985	0.4402951169
986	0.4402005782
987	0.4401044927
988	0.4399908954
989	0.4398689609
990	0.4397114092
991	0.4395982219
992	0.4394934943
993	0.4393220372
994	0.4392559592
995	0.4390935843
996	0.4389868212
997	0.4388224457
998	0.4387143432
999	0.4385989252
